method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,262.0590,,0.251980,,54.86,
exit_1,322.7020,,0.310290,,59.88,
exit_10,830.9100,,0.798952,,74.61,
exit_11,890.4940,,0.856244,,75.92,
exit_2,382.1390,,0.367441,,62.34,
exit_3,438.0130,,0.421166,,65.11,
exit_4,494.1860,,0.475179,,67.03,
exit_5,555.2320,,0.533877,,69.12,
exit_6,609.4760,,0.586035,,70.34,
exit_7,663.9800,,0.638442,,71.59,
exit_8,718.4770,,0.690843,,72.80,
exit_9,778.1380,,0.748210,,74.62,
