method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,121.3,1526.9,0.987,15.25,3.64,17.58,1305,5945
exit_1,148.4,1526.9,0.971,18.37,3.00,20.56,1219,9001
exit_10,423.7,1532.8,0.952,24.46,4.68,31.86,2288,9599
exit_11,450.8,1532.8,0.948,25.67,4.77,32.50,2296,10061
exit_2,175.4,1526.9,0.960,24.02,3.89,23.13,1334,9001
exit_3,202.5,1527.0,0.965,29.05,4.77,23.77,1345,9120
exit_4,229.5,1527.9,0.964,34.20,5.75,24.91,1298,9109
exit_5,256.6,1528.8,0.967,37.23,5.99,24.63,1386,9001
exit_6,283.6,1528.7,0.940,40.93,6.35,25.34,1444,9001
exit_7,310.6,1530.6,0.952,42.78,6.54,23.65,1327,9001
exit_8,369.7,1533.5,0.959,22.48,4.58,31.22,2293,9001
exit_9,396.7,1532.3,0.944,23.99,4.78,31.47,2291,9401
