method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.001489,,0.001489,,0.001489,,217.192
exit_1,0.000000,,0.002085,,0.002085,,0.002085,,192.495
exit_10,0.000000,,0.007448,,0.007448,,0.007448,,93.125
exit_11,0.000000,,0.008053,,0.008053,,0.008053,,88.416
exit_2,0.000000,,0.002732,,0.002732,,0.002732,,169.248
exit_3,0.000000,,0.003321,,0.003321,,0.003321,,154.161
exit_4,0.000000,,0.003900,,0.003900,,0.003900,,140.700
exit_5,0.000000,,0.004525,,0.004525,,0.004525,,129.144
exit_6,0.000000,,0.005127,,0.005127,,0.005127,,119.698
exit_7,0.000000,,0.005695,,0.005695,,0.005695,,111.865
exit_8,0.000000,,0.006274,,0.006274,,0.006274,,105.112
exit_9,0.000000,,0.006834,,0.006834,,0.006834,,99.481
