method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,1831.2100,,0.186630,,19.88,
exit_1,2286.4160,,0.233022,,22.74,
exit_10,7535.8300,,0.768022,,34.40,
exit_11,8133.8480,,0.828969,,34.98,
exit_2,3013.7630,,0.307151,,24.43,
exit_3,3362.8970,,0.342733,,27.38,
exit_4,3968.9230,,0.404497,,28.34,
exit_5,4535.1340,,0.462203,,29.68,
exit_6,5065.0810,,0.516213,,30.04,
exit_7,5552.9650,,0.565936,,30.89,
exit_8,6317.2080,,0.643825,,33.56,
exit_9,6893.6300,,0.702571,,33.85,
