method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,452.1,1821.6,1.002,8.97,0.97,55.35,1095,1215
exit_1,452.1,1821.4,1.002,14.14,1.00,59.17,1095,1215
exit_10,452.1,1827.1,1.002,35.20,2.95,74.95,1095,1215
exit_11,452.1,1827.6,1.002,35.94,2.94,75.47,1095,1215
exit_2,452.1,1821.4,1.002,18.73,1.00,62.34,1095,1215
exit_3,452.1,1821.9,1.002,22.02,1.97,64.87,1095,1215
exit_4,452.1,1821.3,1.002,24.93,1.97,67.10,1095,1215
exit_5,452.1,1821.8,1.002,27.15,2.00,68.76,1095,1215
exit_6,452.1,1822.3,1.002,29.11,2.00,70.31,1095,1215
exit_7,452.1,1823.7,1.002,31.21,2.41,71.80,1095,1215
exit_8,452.1,1825.2,1.002,32.77,2.92,72.97,1095,1215
exit_9,452.1,1825.6,1.002,34.02,2.94,73.81,1095,1215
