method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.001481,,0.001481,,0.001481,,217.822
exit_1,0.000000,,0.002137,,0.002137,,0.002137,,189.568
exit_10,0.000000,,0.007530,,0.007530,,0.007530,,92.576
exit_11,0.000000,,0.008214,,0.008214,,0.008214,,87.079
exit_2,0.000000,,0.002755,,0.002755,,0.002755,,168.672
exit_3,0.000000,,0.003343,,0.003343,,0.003343,,153.795
exit_4,0.000000,,0.003944,,0.003944,,0.003944,,140.362
exit_5,0.000000,,0.004549,,0.004549,,0.004549,,129.323
exit_6,0.000000,,0.005146,,0.005146,,0.005146,,119.788
exit_7,0.000000,,0.005733,,0.005733,,0.005733,,111.517
exit_8,0.000000,,0.006332,,0.006332,,0.006332,,104.601
exit_9,0.000000,,0.006959,,0.006959,,0.006959,,98.198
