method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,73.0390,,0.180343,,29.39,
exit_1,85.7880,,0.211822,,29.95,
exit_10,334.9900,,0.827136,,32.64,
exit_11,362.0150,,0.893864,,33.84,
exit_2,74.0080,,0.182736,,24.10,
exit_3,99.5120,,0.245709,,29.03,
exit_4,97.4940,,0.240726,,26.52,
exit_5,119.0540,,0.293960,,28.88,
exit_6,138.7560,,0.342607,,28.75,
exit_7,124.0260,,0.306237,,24.61,
exit_8,305.9040,,0.755319,,34.22,
exit_9,318.7210,,0.786965,,33.44,
