method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,452.1,1570.2,1.002,8.07,0.85,53.83,1095,1215
exit_1,452.1,1570.2,0.998,13.15,1.00,58.97,1095,1215
exit_10,452.1,1570.1,1.004,35.07,2.90,76.03,1095,1215
exit_11,452.1,1570.1,1.003,35.74,2.90,76.42,1095,1215
exit_2,452.1,1570.2,1.000,18.01,1.00,63.02,1095,1215
exit_3,452.1,1570.1,1.003,21.28,1.78,64.44,1095,1215
exit_4,452.1,1570.1,1.000,24.41,1.91,67.54,1095,1215
exit_5,452.1,1570.1,1.006,26.49,2.00,67.90,1095,1215
exit_6,452.1,1570.1,1.004,28.79,2.00,69.96,1095,1215
exit_7,452.1,1570.1,1.001,31.37,2.78,71.16,1095,1215
exit_8,452.1,1570.1,1.003,32.54,2.85,72.25,1095,1215
exit_9,452.1,1570.1,1.002,33.56,2.90,73.70,1095,1215
