method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.001493,,0.001493,,0.001493,,215.530
exit_1,0.000000,,0.002120,,0.002120,,0.002120,,189.509
exit_10,0.000000,,0.007479,,0.007479,,0.007479,,92.420
exit_11,0.000000,,0.008171,,0.008171,,0.008171,,86.526
exit_2,0.000000,,0.002746,,0.002746,,0.002746,,168.454
exit_3,0.000000,,0.003369,,0.003369,,0.003369,,152.383
exit_4,0.000000,,0.003932,,0.003932,,0.003932,,139.602
exit_5,0.000000,,0.004611,,0.004611,,0.004611,,127.273
exit_6,0.000000,,0.005089,,0.005089,,0.005089,,119.787
exit_7,0.000000,,0.005610,,0.005610,,0.005610,,112.832
exit_8,0.000000,,0.006310,,0.006310,,0.006310,,103.995
exit_9,0.000000,,0.006983,,0.006983,,0.006983,,97.149
