method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,1386.4640,,0.253931,,55.36,
exit_1,1698.3760,,0.311058,,59.30,
exit_10,4392.0000,,0.804396,,74.98,
exit_11,4693.5180,,0.859619,,75.63,
exit_2,2003.2030,,0.366887,,62.54,
exit_3,2297.5860,,0.420803,,64.83,
exit_4,2624.8710,,0.480746,,67.18,
exit_5,2911.1410,,0.533176,,68.91,
exit_6,3222.2950,,0.590164,,70.31,
exit_7,3526.6550,,0.645908,,71.72,
exit_8,3813.5990,,0.698461,,73.02,
exit_9,4080.3290,,0.747313,,73.95,
