method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,121.3,1523.6,0.966,20.33,8.75,18.87,1512,1938
exit_1,148.4,1525.8,0.978,19.00,3.31,20.71,1309,9001
exit_10,423.7,1535.5,0.946,24.98,4.74,31.99,2304,9542
exit_11,450.8,1535.1,0.957,25.96,4.67,33.05,2309,10234
exit_2,175.4,1528.1,0.971,24.42,4.02,23.33,1396,9001
exit_3,202.4,1531.8,0.972,29.67,5.02,24.41,1359,9114
exit_4,229.5,1532.2,0.969,33.61,5.69,25.10,1353,9413
exit_5,256.5,1533.5,0.976,37.11,6.39,27.46,1492,9039
exit_6,283.6,1531.9,0.968,41.19,6.66,24.48,1445,9001
exit_7,310.6,1533.7,0.961,43.48,6.88,24.55,1411,9001
exit_8,369.6,1536.0,0.953,23.22,4.76,31.52,2310,9109
exit_9,396.7,1533.7,0.959,24.22,4.81,31.83,2302,9348
