method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.001483,,0.001483,,0.001483,,217.893
exit_1,0.000000,,0.002112,,0.002112,,0.002112,,190.555
exit_10,0.000000,,0.007472,,0.007472,,0.007472,,93.165
exit_11,0.000000,,0.008115,,0.008115,,0.008115,,87.941
exit_2,0.000000,,0.002715,,0.002715,,0.002715,,170.373
exit_3,0.000000,,0.003329,,0.003329,,0.003329,,153.992
exit_4,0.000000,,0.003961,,0.003961,,0.003961,,139.684
exit_5,0.000000,,0.004543,,0.004543,,0.004543,,129.182
exit_6,0.000000,,0.005185,,0.005185,,0.005185,,119.084
exit_7,0.000000,,0.005768,,0.005768,,0.005768,,110.992
exit_8,0.000000,,0.006340,,0.006340,,0.006340,,104.493
exit_9,0.000000,,0.006904,,0.006904,,0.006904,,98.901
