method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,5491.8950,,0.135847,,18.51,
exit_1,5825.9340,,0.144110,,19.92,
exit_10,33317.0530,,0.824129,,31.48,
exit_11,35575.3560,,0.879990,,32.05,
exit_2,6712.8510,,0.166049,,22.89,
exit_3,8098.1930,,0.200316,,24.08,
exit_4,9233.3210,,0.228395,,24.85,
exit_5,10460.4000,,0.258748,,25.00,
exit_6,11175.1490,,0.276428,,23.78,
exit_7,12254.5210,,0.303127,,23.73,
exit_8,28426.1590,,0.703148,,31.07,
exit_9,30966.2760,,0.765980,,31.45,
