method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,121.4,1729.8,0.980,21.69,10.53,18.51,1580,849
exit_1,148.4,1746.2,0.975,20.64,5.62,19.92,1370,8136
exit_10,423.8,1084.4,0.951,24.36,5.30,31.48,2315,9466
exit_11,450.8,1080.9,0.952,25.14,4.80,32.05,2319,9848
exit_2,175.4,1750.0,0.980,25.02,4.99,22.89,1410,8980
exit_3,202.5,1752.5,0.960,29.10,5.92,24.08,1431,9082
exit_4,229.5,1752.5,0.960,33.12,6.79,24.85,1366,9039
exit_5,256.6,1296.9,0.965,36.84,7.46,25.00,1451,9042
exit_6,283.6,1230.7,0.958,40.53,7.67,23.78,1428,9001
exit_7,310.6,1127.0,0.966,43.34,7.96,23.73,1394,9001
exit_8,369.7,1116.1,0.954,22.88,5.31,31.07,2333,9057
exit_9,396.7,1118.2,0.952,23.66,5.28,31.45,2326,9264
