method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.001483,,0.001483,,0.001483,,218.245
exit_1,0.000000,,0.002127,,0.002127,,0.002127,,190.499
exit_10,0.000000,,0.007629,,0.007629,,0.007629,,91.226
exit_11,0.000000,,0.008265,,0.008265,,0.008265,,86.197
exit_2,0.000000,,0.002730,,0.002730,,0.002730,,170.432
exit_3,0.000000,,0.003339,,0.003339,,0.003339,,154.060
exit_4,0.000000,,0.003920,,0.003920,,0.003920,,141.154
exit_5,0.000000,,0.004611,,0.004611,,0.004611,,127.608
exit_6,0.000000,,0.005230,,0.005230,,0.005230,,117.858
exit_7,0.000000,,0.005819,,0.005819,,0.005819,,109.873
exit_8,0.000000,,0.006408,,0.006408,,0.006408,,103.177
exit_9,0.000000,,0.007017,,0.007017,,0.007017,,97.111
