method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,72.5760,,0.264876,,56.52,
exit_1,83.5780,,0.305029,,57.58,
exit_10,218.5900,,0.797774,,73.92,
exit_11,234.7590,,0.856785,,74.28,
exit_2,101.0570,,0.368821,,62.58,
exit_3,117.4430,,0.428624,,64.87,
exit_4,128.5830,,0.469281,,65.78,
exit_5,146.0040,,0.532861,,68.88,
exit_6,162.5830,,0.593369,,70.53,
exit_7,173.4360,,0.632978,,69.90,
exit_8,190.8420,,0.696504,,73.02,
exit_9,205.8030,,0.751106,,73.83,
