method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,452.1,1699.0,1.005,8.70,0.97,56.52,1095,1215
exit_1,452.1,1699.0,1.006,13.09,1.00,57.58,1095,1215
exit_10,452.1,1698.9,1.001,34.81,2.88,73.92,1095,1215
exit_11,452.1,1698.9,1.003,35.55,2.94,74.28,1095,1215
exit_2,452.1,1699.0,0.997,18.05,1.00,62.58,1095,1215
exit_3,452.1,1699.0,1.000,21.14,1.80,64.87,1095,1215
exit_4,452.1,1698.9,1.003,24.27,1.88,65.78,1095,1215
exit_5,452.1,1698.9,0.995,26.64,2.00,68.88,1095,1215
exit_6,452.1,1698.9,1.002,28.39,2.00,70.53,1095,1215
exit_7,452.1,1698.9,1.000,30.12,2.28,69.90,1095,1215
exit_8,452.1,1698.9,0.999,32.36,2.88,73.02,1095,1215
exit_9,452.1,1698.9,1.001,33.77,2.88,73.83,1095,1215
