method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.001533,,0.001533,,0.001533,,211.493
exit_1,0.000000,,0.002167,,0.002167,,0.002167,,186.949
exit_10,0.000000,,0.007541,,0.007541,,0.007541,,91.752
exit_11,0.000000,,0.008244,,0.008244,,0.008244,,85.866
exit_2,0.000000,,0.002751,,0.002751,,0.002751,,168.169
exit_3,0.000000,,0.003376,,0.003376,,0.003376,,149.777
exit_4,0.000000,,0.003928,,0.003928,,0.003928,,138.648
exit_5,0.000000,,0.004534,,0.004534,,0.004534,,128.072
exit_6,0.000000,,0.005198,,0.005198,,0.005198,,117.685
exit_7,0.000000,,0.005814,,0.005814,,0.005814,,109.357
exit_8,0.000000,,0.006326,,0.006326,,0.006326,,103.827
exit_9,0.000000,,0.006973,,0.006973,,0.006973,,97.350
