method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,226.3080,,0.260423,,55.07,
exit_1,267.2840,,0.307577,,58.63,
exit_10,683.8000,,0.786881,,74.90,
exit_11,730.8200,,0.840990,,76.22,
exit_2,313.0290,,0.360217,,61.64,
exit_3,359.4200,,0.413602,,64.60,
exit_4,405.0640,,0.466127,,66.52,
exit_5,457.8610,,0.526883,,69.05,
exit_6,502.8450,,0.578648,,70.50,
exit_7,543.6240,,0.625574,,71.86,
exit_8,589.5040,,0.678371,,73.63,
exit_9,640.3830,,0.736919,,74.75,
