method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,452.6,1454.3,1.005,9.55,1.35,55.07,1095,1215
exit_1,452.6,1467.8,1.002,13.71,0.95,58.63,1095,1215
exit_10,452.6,1471.7,1.003,35.84,2.93,74.90,1095,1215
exit_11,452.6,1471.7,1.002,37.20,2.98,76.22,1095,1215
exit_2,452.6,1469.6,1.000,18.58,1.00,61.64,1095,1215
exit_3,452.6,1469.8,1.001,22.09,1.90,64.60,1095,1215
exit_4,452.6,1469.8,1.002,25.09,1.99,66.52,1095,1215
exit_5,452.6,1469.8,1.001,27.34,2.00,69.05,1095,1215
exit_6,452.6,1469.9,1.002,29.42,2.00,70.50,1095,1215
exit_7,452.6,1470.0,1.002,31.63,2.85,71.86,1095,1215
exit_8,452.6,1471.0,1.002,33.63,2.93,73.63,1095,1215
exit_9,452.6,1471.6,1.001,34.83,2.91,74.75,1095,1215
