method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.001611,,0.001611,,0.001611,,26.962
exit_1,0.000000,,0.002101,,0.002101,,0.002101,,87.737
exit_10,0.000000,,0.007228,,0.007228,,0.007228,,94.880
exit_11,0.000000,,0.007715,,0.007715,,0.007715,,90.344
exit_2,0.000000,,0.002681,,0.002681,,0.002681,,170.628
exit_3,0.000000,,0.003253,,0.003253,,0.003253,,155.713
exit_4,0.000000,,0.003829,,0.003829,,0.003829,,142.287
exit_5,0.000000,,0.004407,,0.004407,,0.004407,,130.644
exit_6,0.000000,,0.004972,,0.004972,,0.004972,,121.459
exit_7,0.000000,,0.005502,,0.005502,,0.005502,,114.424
exit_8,0.000000,,0.006044,,0.006044,,0.006044,,108.192
exit_9,0.000000,,0.006619,,0.006619,,0.006619,,101.095
