method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,2114.4836,,0.255293,,55.20,
exit_1,2591.3923,,0.309478,,58.97,
exit_10,6801.0031,,0.805140,,74.90,
exit_11,7261.4840,,0.861906,,75.64,
exit_2,3057.9049,,0.367343,,62.43,
exit_3,3513.1334,,0.421205,,64.83,
exit_4,3979.5514,,0.475377,,66.94,
exit_5,4465.5211,,0.532381,,68.76,
exit_6,4932.6963,,0.587103,,70.29,
exit_7,5410.3931,,0.637981,,71.40,
exit_8,5863.0821,,0.694165,,72.96,
exit_9,6306.0324,,0.749943,,74.08,
