method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,452.2,1771.7,1.003,8.87,1.00,55.20,1095,1215
exit_1,452.2,1774.4,1.002,13.83,0.99,58.97,1095,1215
exit_10,452.2,1779.9,1.002,35.18,2.92,74.90,1095,1215
exit_11,452.2,1780.7,1.002,36.12,2.94,75.64,1095,1215
exit_2,452.2,1775.1,1.000,18.52,1.00,62.43,1095,1215
exit_3,452.2,1775.5,1.002,21.78,1.90,64.83,1095,1215
exit_4,452.2,1775.6,1.002,24.77,1.95,66.94,1095,1215
exit_5,452.2,1776.1,1.001,26.92,2.00,68.76,1095,1215
exit_6,452.2,1777.2,1.002,28.89,2.00,70.29,1095,1215
exit_7,452.2,1778.2,1.002,31.04,2.48,71.40,1095,1215
exit_8,452.2,1779.3,1.002,32.74,2.91,72.96,1095,1215
exit_9,452.2,1779.6,1.002,34.11,2.92,74.08,1095,1215
