method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.001510,,0.001510,,0.001510,,189.305
exit_1,0.000000,,0.002121,,0.002121,,0.002121,,175.330
exit_10,0.000000,,0.007475,,0.007475,,0.007475,,92.735
exit_11,0.000000,,0.008111,,0.008111,,0.008111,,87.481
exit_2,0.000000,,0.002730,,0.002730,,0.002730,,169.425
exit_3,0.000000,,0.003333,,0.003333,,0.003333,,153.412
exit_4,0.000000,,0.003916,,0.003916,,0.003916,,140.348
exit_5,0.000000,,0.004540,,0.004540,,0.004540,,128.749
exit_6,0.000000,,0.005135,,0.005135,,0.005135,,119.337
exit_7,0.000000,,0.005706,,0.005706,,0.005706,,111.551
exit_8,0.000000,,0.006291,,0.006291,,0.006291,,104.771
exit_9,0.000000,,0.006898,,0.006898,,0.006898,,98.469
