method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,41.1982,,0.411982,,72.17,
exit_1,43.0158,,0.430158,,71.37,
exit_10,125.6126,,1.256126,,64.66,
exit_11,136.1510,,1.361510,,66.31,
exit_12,142.1112,,1.421112,,65.56,
exit_13,149.7456,,1.497456,,64.77,
exit_14,162.4756,,1.624756,,65.75,
exit_15,169.4376,,1.694376,,66.43,
exit_2,44.6740,,0.446740,,65.94,
exit_3,60.2666,,0.602666,,64.68,
exit_4,72.8012,,0.728012,,65.22,
exit_5,83.1652,,0.831652,,66.36,
exit_6,90.8892,,0.908892,,65.63,
exit_7,97.6856,,0.976856,,64.59,
exit_8,107.8264,,1.078264,,65.03,
exit_9,118.3806,,1.183806,,65.96,
