method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,2405.6,3221.9,0.988,11.44,8.75,72.17,1095,1215
exit_1,2411.4,3341.5,1.003,13.48,9.08,71.37,1095,1215
exit_10,2411.4,3369.8,1.002,24.00,7.82,64.66,1095,1215
exit_11,2411.4,3369.8,0.999,24.30,7.81,66.31,1095,1215
exit_12,2411.4,3369.8,1.001,24.85,7.90,65.56,1095,1215
exit_13,2411.4,3369.8,1.001,25.05,7.88,64.77,1095,1215
exit_14,2411.4,3369.8,1.001,25.15,7.82,65.75,1095,1215
exit_15,2411.4,3369.9,1.000,25.57,7.88,66.43,1095,1215
exit_2,2411.4,3345.4,1.002,14.21,8.74,65.94,1095,1215
exit_3,2411.4,3369.3,1.001,19.13,8.24,64.68,1095,1215
exit_4,2411.4,3369.6,1.002,20.15,7.84,65.22,1095,1215
exit_5,2411.4,3369.7,1.004,20.92,7.76,66.36,1095,1215
exit_6,2411.4,3369.7,0.998,21.62,7.76,65.63,1095,1215
exit_7,2411.4,3369.7,1.001,22.63,7.80,64.59,1095,1215
exit_8,2411.4,3369.8,0.999,23.62,7.92,65.03,1095,1215
exit_9,2411.4,3369.8,0.998,23.45,7.82,65.96,1095,1215
