method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.002350,,0.002350,,0.002350,,174.782
exit_1,0.000000,,0.002725,,0.002725,,0.002725,,165.243
exit_10,0.000000,,0.015831,,0.015831,,0.015831,,51.424
exit_11,0.000000,,0.016959,,0.016959,,0.016959,,48.645
exit_12,0.000000,,0.018084,,0.018084,,0.018084,,46.082
exit_13,0.000000,,0.019499,,0.019499,,0.019499,,43.209
exit_14,0.000000,,0.021056,,0.021056,,0.021056,,40.451
exit_15,0.000000,,0.021906,,0.021906,,0.021906,,39.174
exit_2,0.000000,,0.003409,,0.003409,,0.003409,,147.131
exit_3,0.000000,,0.005962,,0.005962,,0.005962,,107.028
exit_4,0.000000,,0.007800,,0.007800,,0.007800,,89.398
exit_5,0.000000,,0.009085,,0.009085,,0.009085,,79.630
exit_6,0.000000,,0.010367,,0.010367,,0.010367,,72.044
exit_7,0.000000,,0.011645,,0.011645,,0.011645,,66.020
exit_8,0.000000,,0.013008,,0.013008,,0.013008,,60.200
exit_9,0.000000,,0.014381,,0.014381,,0.014381,,55.604
