method,accuracy,f1,perplexity
exit_0,0.2300,0.2067,40258635851032768.0000
exit_1,0.2100,0.1895,11614982006.3793
exit_10,0.2667,0.2570,267685.0194
exit_11,0.2967,0.2826,54732.1117
exit_12,0.3000,0.2906,23421.4183
exit_13,0.2767,0.2640,6923.0077
exit_14,0.2867,0.2758,493.7232
exit_15,0.3233,0.3076,158.2766
exit_2,0.2267,0.2040,29958717.7284
exit_3,0.2133,0.1892,1193529.7749
exit_4,0.2167,0.2004,670520.6754
exit_5,0.2333,0.2176,590578.0100
exit_6,0.2400,0.2243,807430.1904
exit_7,0.2367,0.2152,665549.9518
exit_8,0.2400,0.2059,1218212.4284
exit_9,0.2433,0.2217,602406.2703
