method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,22.3120,,0.223120,,22.86,
exit_1,24.5770,,0.245770,,23.92,
exit_10,87.7450,,0.877450,,34.40,
exit_11,96.2510,,0.962510,,33.21,
exit_12,101.7940,,1.017940,,34.20,
exit_13,107.6540,,1.076540,,34.76,
exit_14,110.7280,,1.107280,,35.77,
exit_15,118.3050,,1.183050,,36.17,
exit_2,27.5350,,0.275350,,25.23,
exit_3,30.8800,,0.308800,,26.09,
exit_4,33.1520,,0.331520,,27.59,
exit_5,36.1310,,0.361310,,26.72,
exit_6,39.1810,,0.391810,,27.32,
exit_7,72.4790,,0.724790,,30.09,
exit_8,75.3810,,0.753810,,33.18,
exit_9,83.3520,,0.833520,,33.31,
