method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,686.3,1422.3,0.993,34.45,23.62,22.86,924,9001
exit_1,1419.4,1624.8,0.928,29.96,24.76,23.92,915,9001
exit_10,2464.1,2558.4,0.962,32.55,21.81,34.40,1814,10781
exit_11,2580.1,2559.0,0.916,33.66,23.03,33.21,2088,9401
exit_12,2696.1,2559.7,0.961,37.23,25.13,34.20,2138,9841
exit_13,2812.1,2560.3,0.923,32.99,21.41,34.76,2164,10881
exit_14,2928.1,2560.6,0.944,34.40,22.97,35.77,1971,10661
exit_15,3044.1,2561.4,0.951,41.14,24.05,36.17,2107,10761
exit_2,1535.5,1687.2,1.002,34.62,28.48,25.23,1034,9001
exit_3,1651.7,1759.3,0.950,31.23,25.09,26.09,827,9001
exit_4,1767.7,1848.5,0.975,36.96,31.51,27.59,916,9001
exit_5,1884.0,1956.8,0.959,34.56,28.22,26.72,873,9001
exit_6,2000.1,2085.3,0.981,46.27,35.32,27.32,904,9001
exit_7,2116.2,2512.8,0.895,34.91,23.97,30.09,1569,9181
exit_8,2232.1,2550.2,0.949,31.36,20.90,33.18,1724,10781
exit_9,2348.1,2560.4,0.918,33.90,19.52,33.31,1791,10561
