method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.003094,,0.003094,,0.003094,,155.255
exit_1,0.000000,,0.002697,,0.002697,,0.002697,,168.173
exit_10,0.000000,,0.015521,,0.015521,,0.015521,,52.536
exit_11,0.000000,,0.016941,,0.016941,,0.016941,,48.984
exit_12,0.000000,,0.018022,,0.018022,,0.018022,,46.365
exit_13,0.000000,,0.019419,,0.019419,,0.019419,,43.535
exit_14,0.000000,,0.021166,,0.021166,,0.021166,,40.346
exit_15,0.000000,,0.021902,,0.021902,,0.021902,,39.325
exit_2,0.000000,,0.003382,,0.003382,,0.003382,,148.792
exit_3,0.000000,,0.005930,,0.005930,,0.005930,,107.688
exit_4,0.000000,,0.007841,,0.007841,,0.007841,,89.314
exit_5,0.000000,,0.009354,,0.009354,,0.009354,,78.099
exit_6,0.000000,,0.010313,,0.010313,,0.010313,,72.501
exit_7,0.000000,,0.011704,,0.011704,,0.011704,,65.793
exit_8,0.000000,,0.012846,,0.012846,,0.012846,,60.949
exit_9,0.000000,,0.014292,,0.014292,,0.014292,,56.242
