method,accuracy,f1,perplexity
exit_0,0.2100,0.1955,7460702391872393.0000
exit_1,0.1800,0.1641,9309876727.1784
exit_10,0.3000,0.2939,325527.9439
exit_11,0.2900,0.2880,97303.0586
exit_12,0.3100,0.3025,60401.8462
exit_13,0.2400,0.2333,27175.2031
exit_14,0.2300,0.2179,2134.9878
exit_15,0.2800,0.2674,721.6771
exit_2,0.2200,0.2128,53214846.8643
exit_3,0.1900,0.1809,2249709.2512
exit_4,0.2500,0.2362,1082384.4833
exit_5,0.2500,0.2477,684121.4890
exit_6,0.2300,0.2232,964912.3269
exit_7,0.2500,0.2453,1542633.9178
exit_8,0.2300,0.2189,1222238.9104
exit_9,0.2400,0.2298,1255805.9942
