method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,44.6710,,0.446710,,77.61,
exit_1,45.1890,,0.451890,,73.10,
exit_10,133.1840,,1.331840,,66.87,
exit_11,148.4050,,1.484050,,71.48,
exit_12,155.1630,,1.551630,,69.90,
exit_13,163.2260,,1.632260,,69.42,
exit_14,181.9570,,1.819570,,71.24,
exit_15,184.0560,,1.840560,,70.70,
exit_2,52.5280,,0.525280,,74.10,
exit_3,65.0630,,0.650630,,68.54,
exit_4,79.0510,,0.790510,,70.33,
exit_5,91.4930,,0.914930,,71.74,
exit_6,99.6080,,0.996080,,70.56,
exit_7,106.5050,,1.065050,,69.09,
exit_8,119.1720,,1.191720,,70.43,
exit_9,128.3480,,1.283480,,70.64,
