method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,2396.2,3134.9,1.008,19.60,15.99,77.61,1095,1215
exit_1,2425.1,3341.5,1.003,16.87,10.85,73.10,1095,1215
exit_10,2425.1,3369.8,0.999,24.11,7.92,66.87,1095,1215
exit_11,2425.1,3369.8,1.002,26.58,8.64,71.48,1095,1215
exit_12,2425.1,3369.8,1.000,25.89,8.29,69.90,1095,1215
exit_13,2425.1,3369.8,0.999,25.92,8.20,69.42,1095,1215
exit_14,2425.1,3369.8,1.002,26.33,8.14,71.24,1095,1215
exit_15,2425.1,3369.8,0.999,27.44,8.46,70.70,1095,1215
exit_2,2425.1,3345.4,1.002,17.63,10.29,74.10,1095,1215
exit_3,2425.1,3369.1,1.001,21.88,9.08,68.54,1095,1215
exit_4,2425.1,3369.5,1.005,21.51,8.05,70.33,1095,1215
exit_5,2425.1,3369.7,1.004,23.28,8.42,71.74,1095,1215
exit_6,2425.1,3369.7,0.999,22.70,7.98,70.56,1095,1215
exit_7,2425.1,3369.7,0.999,23.78,8.11,69.09,1095,1215
exit_8,2425.1,3369.8,1.005,23.66,7.89,70.43,1095,1215
exit_9,2425.1,3369.8,1.002,25.46,8.54,70.64,1095,1215
