method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.002200,,0.002200,,0.002200,,172.969
exit_1,0.000000,,0.002737,,0.002737,,0.002737,,161.031
exit_10,0.000000,,0.016132,,0.016132,,0.016132,,50.139
exit_11,0.000000,,0.016987,,0.016987,,0.016987,,48.057
exit_12,0.000000,,0.018382,,0.018382,,0.018382,,44.994
exit_13,0.000000,,0.019684,,0.019684,,0.019684,,42.436
exit_14,0.000000,,0.021632,,0.021632,,0.021632,,39.106
exit_15,0.000000,,0.022170,,0.022170,,0.022170,,38.369
exit_2,0.000000,,0.003497,,0.003497,,0.003497,,140.518
exit_3,0.000000,,0.005969,,0.005969,,0.005969,,105.082
exit_4,0.000000,,0.007742,,0.007742,,0.007742,,88.748
exit_5,0.000000,,0.009186,,0.009186,,0.009186,,78.187
exit_6,0.000000,,0.010451,,0.010451,,0.010451,,70.657
exit_7,0.000000,,0.011772,,0.011772,,0.011772,,64.751
exit_8,0.000000,,0.013191,,0.013191,,0.013191,,58.966
exit_9,0.000000,,0.014458,,0.014458,,0.014458,,54.943
