method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,40.1600,,0.401600,,70.90,
exit_1,48.0680,,0.480680,,78.65,
exit_10,125.6870,,1.256870,,64.90,
exit_11,132.7870,,1.327870,,64.51,
exit_12,140.2070,,1.402070,,65.10,
exit_13,152.8760,,1.528760,,65.95,
exit_14,159.9850,,1.599850,,66.04,
exit_15,166.1410,,1.661410,,65.52,
exit_2,43.1180,,0.431180,,64.44,
exit_3,61.3100,,0.613100,,64.64,
exit_4,73.9880,,0.739880,,66.61,
exit_5,80.9770,,0.809770,,65.03,
exit_6,93.4610,,0.934610,,67.96,
exit_7,100.3570,,1.003570,,66.18,
exit_8,106.7860,,1.067860,,64.63,
exit_9,118.9910,,1.189910,,66.54,
