method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,2413.1,3144.3,0.989,10.24,7.67,70.90,1095,1215
exit_1,2413.1,3341.5,0.998,11.04,7.61,78.65,1095,1215
exit_10,2413.1,3369.8,1.002,24.70,7.96,64.90,1095,1215
exit_11,2413.1,3369.8,1.001,24.39,7.74,64.51,1095,1215
exit_12,2413.1,3369.8,1.003,25.19,8.17,65.10,1095,1215
exit_13,2413.1,3369.8,1.001,25.05,7.66,65.95,1095,1215
exit_14,2413.1,3369.8,1.003,26.59,8.12,66.04,1095,1215
exit_15,2413.1,3369.8,0.998,26.94,8.46,65.52,1095,1215
exit_2,2413.1,3345.4,1.001,13.55,8.50,64.44,1095,1215
exit_3,2413.1,3369.3,1.002,16.84,7.19,64.64,1095,1215
exit_4,2413.1,3369.5,1.008,20.30,7.98,66.61,1095,1215
exit_5,2413.1,3369.7,1.004,20.25,7.64,65.03,1095,1215
exit_6,2413.1,3369.7,0.989,23.13,8.34,67.96,1095,1215
exit_7,2413.1,3369.7,1.002,23.23,8.09,66.18,1095,1215
exit_8,2413.1,3369.8,0.999,23.63,8.04,64.63,1095,1215
exit_9,2413.1,3369.8,0.995,22.95,7.60,66.54,1095,1215
