method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.002265,,0.002265,,0.002265,,175.364
exit_1,0.000000,,0.002776,,0.002776,,0.002776,,162.812
exit_10,0.000000,,0.015787,,0.015787,,0.015787,,51.547
exit_11,0.000000,,0.016918,,0.016918,,0.016918,,48.525
exit_12,0.000000,,0.017904,,0.017904,,0.017904,,46.375
exit_13,0.000000,,0.019519,,0.019519,,0.019519,,43.068
exit_14,0.000000,,0.020549,,0.020549,,0.020549,,41.205
exit_15,0.000000,,0.021737,,0.021737,,0.021737,,39.389
exit_2,0.000000,,0.003397,,0.003397,,0.003397,,148.792
exit_3,0.000000,,0.006085,,0.006085,,0.006085,,104.844
exit_4,0.000000,,0.007722,,0.007722,,0.007722,,89.800
exit_5,0.000000,,0.008990,,0.008990,,0.008990,,80.125
exit_6,0.000000,,0.010311,,0.010311,,0.010311,,72.492
exit_7,0.000000,,0.011697,,0.011697,,0.011697,,65.797
exit_8,0.000000,,0.012978,,0.012978,,0.012978,,60.348
exit_9,0.000000,,0.014319,,0.014319,,0.014319,,55.762
