method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,21.1410,,0.211410,,22.98,
exit_1,21.3010,,0.213010,,22.96,
exit_10,81.6060,,0.816060,,33.16,
exit_11,91.5850,,0.915850,,34.45,
exit_12,93.2960,,0.932960,,33.65,
exit_13,109.3860,,1.093860,,33.50,
exit_14,108.9800,,1.089800,,34.48,
exit_15,116.1990,,1.161990,,35.19,
exit_2,24.3200,,0.243200,,23.71,
exit_3,28.7850,,0.287850,,27.45,
exit_4,28.8410,,0.288410,,25.37,
exit_5,33.1230,,0.331230,,27.14,
exit_6,35.5030,,0.355030,,27.77,
exit_7,69.3400,,0.693400,,31.47,
exit_8,71.7740,,0.717740,,32.66,
exit_9,79.1950,,0.791950,,33.56,
