method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,684.5,1490.1,0.951,34.88,28.85,22.98,826,9001
exit_1,1417.6,1624.7,0.994,36.89,16.34,22.96,742,9721
exit_10,2462.3,2558.5,0.984,36.73,21.73,33.16,1854,10601
exit_11,2578.3,2559.0,0.982,32.23,21.63,34.45,2058,10521
exit_12,2694.4,2559.7,0.975,34.35,23.39,33.65,2049,10741
exit_13,2810.3,2560.3,0.947,33.47,23.61,33.50,2051,9781
exit_14,2926.3,2560.6,0.959,37.51,25.85,34.48,2084,9601
exit_15,3042.3,2561.4,0.932,34.11,23.09,35.19,2107,10621
exit_2,1533.8,1695.1,0.975,37.97,31.88,23.71,819,9001
exit_3,1649.9,1769.5,0.983,41.51,34.41,27.45,847,9001
exit_4,1766.0,1860.5,0.962,46.60,24.90,25.37,784,9001
exit_5,1882.2,1972.7,0.973,42.18,34.97,27.14,963,9001
exit_6,1998.3,2103.2,0.941,42.22,24.46,27.77,887,9001
exit_7,2114.4,2543.8,0.979,38.69,24.58,31.47,1697,9101
exit_8,2230.3,2550.3,0.981,32.32,22.25,32.66,1779,10641
exit_9,2346.3,2557.9,0.967,32.00,22.05,33.56,1838,10561
