method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.002067,,0.002067,,0.002067,,188.263
exit_1,0.000000,,0.002697,,0.002697,,0.002697,,168.106
exit_10,0.000000,,0.016121,,0.016121,,0.016121,,50.752
exit_11,0.000000,,0.016824,,0.016824,,0.016824,,49.261
exit_12,0.000000,,0.018120,,0.018120,,0.018120,,46.248
exit_13,0.000000,,0.019219,,0.019219,,0.019219,,43.982
exit_14,0.000000,,0.021282,,0.021282,,0.021282,,40.293
exit_15,0.000000,,0.021856,,0.021856,,0.021856,,39.464
exit_2,0.000000,,0.003389,,0.003389,,0.003389,,149.353
exit_3,0.000000,,0.005888,,0.005888,,0.005888,,109.067
exit_4,0.000000,,0.007943,,0.007943,,0.007943,,89.197
exit_5,0.000000,,0.008974,,0.008974,,0.008974,,80.985
exit_6,0.000000,,0.010366,,0.010366,,0.010366,,72.444
exit_7,0.000000,,0.011533,,0.011533,,0.011533,,66.926
exit_8,0.000000,,0.012981,,0.012981,,0.012981,,60.654
exit_9,0.000000,,0.014520,,0.014520,,0.014520,,55.125
