method,accuracy,f1,perplexity
exit_0,0.2400,0.2371,191027856572885472.0000
exit_1,0.2600,0.2550,47000645197.7459
exit_10,0.3000,0.2976,56542.4019
exit_11,0.3500,0.3437,13803.4429
exit_12,0.3800,0.3777,3392.2603
exit_13,0.3900,0.3901,569.8881
exit_14,0.4100,0.4081,44.0058
exit_15,0.4400,0.4372,18.6342
exit_2,0.2500,0.2439,65269767.6801
exit_3,0.2500,0.2436,1593729.9700
exit_4,0.2500,0.2441,470762.3511
exit_5,0.2600,0.2498,377517.3214
exit_6,0.2600,0.2521,423670.8786
exit_7,0.2500,0.2473,433286.8376
exit_8,0.2700,0.2640,855570.5421
exit_9,0.2600,0.2539,188566.1731
