method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,19.3180,,0.193180,,21.34,
exit_1,24.8560,,0.248560,,26.68,
exit_10,91.6100,,0.916100,,35.91,
exit_11,93.9850,,0.939850,,35.51,
exit_12,106.2540,,1.062540,,35.46,
exit_13,108.6340,,1.086340,,35.89,
exit_14,113.5400,,1.135400,,36.55,
exit_15,121.3630,,1.213630,,36.84,
exit_2,25.8800,,0.258800,,25.96,
exit_3,29.0980,,0.290980,,27.64,
exit_4,31.4120,,0.314120,,28.32,
exit_5,33.2990,,0.332990,,26.63,
exit_6,36.5850,,0.365850,,30.88,
exit_7,73.4620,,0.734620,,34.05,
exit_8,78.7920,,0.787920,,35.22,
exit_9,83.5220,,0.835220,,34.57,
