method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,2408.1,3338.3,0.990,8.16,6.38,72.03,1095,1215
exit_1,2408.1,3341.5,1.003,12.49,8.62,69.24,1095,1215
exit_10,2408.1,3369.8,1.003,23.22,7.53,63.86,1095,1215
exit_11,2408.1,3369.8,0.997,24.44,7.88,65.16,1095,1215
exit_12,2408.1,3369.8,1.000,25.08,7.79,66.03,1095,1215
exit_13,2408.1,3369.8,1.000,25.06,8.03,63.54,1095,1215
exit_14,2408.1,3369.8,1.001,24.44,7.57,64.13,1095,1215
exit_15,2408.1,3369.9,1.000,24.57,7.41,65.71,1095,1215
exit_2,2408.1,3345.4,1.002,12.19,7.38,62.31,1095,1215
exit_3,2408.1,3369.5,1.001,20.43,8.99,64.66,1095,1215
exit_4,2408.1,3369.7,1.001,20.21,8.04,64.50,1095,1215
exit_5,2408.1,3369.7,1.006,20.15,7.50,63.63,1095,1215
exit_6,2408.1,3369.7,1.006,20.65,7.34,64.99,1095,1215
exit_7,2408.1,3369.8,1.005,21.21,7.41,61.02,1095,1215
exit_8,2408.1,3369.8,1.000,24.08,7.99,62.28,1095,1215
exit_9,2408.1,3369.8,1.003,22.77,7.55,65.22,1095,1215
