method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.002122,,0.002122,,0.002122,,182.059
exit_1,0.000000,,0.002719,,0.002719,,0.002719,,166.094
exit_10,0.000000,,0.015592,,0.015592,,0.015592,,52.144
exit_11,0.000000,,0.017127,,0.017127,,0.017127,,48.397
exit_12,0.000000,,0.017990,,0.017990,,0.017990,,46.430
exit_13,0.000000,,0.019655,,0.019655,,0.019655,,43.023
exit_14,0.000000,,0.020649,,0.020649,,0.020649,,41.305
exit_15,0.000000,,0.021867,,0.021867,,0.021867,,39.324
exit_2,0.000000,,0.003382,,0.003382,,0.003382,,148.202
exit_3,0.000000,,0.005940,,0.005940,,0.005940,,108.456
exit_4,0.000000,,0.007751,,0.007751,,0.007751,,89.931
exit_5,0.000000,,0.008922,,0.008922,,0.008922,,80.752
exit_6,0.000000,,0.010395,,0.010395,,0.010395,,72.124
exit_7,0.000000,,0.011521,,0.011521,,0.011521,,66.834
exit_8,0.000000,,0.013045,,0.013045,,0.013045,,60.082
exit_9,0.000000,,0.014314,,0.014314,,0.014314,,55.949
