method,accuracy,f1,perplexity
exit_0,0.2400,0.1875,171267137184540.4688
exit_1,0.1900,0.1494,222800706.4825
exit_10,0.2000,0.1809,965597.6192
exit_11,0.2400,0.2079,161987.7905
exit_12,0.2200,0.2031,51044.5482
exit_13,0.2000,0.1686,6108.9177
exit_14,0.1900,0.1705,254.8240
exit_15,0.2700,0.2312,53.9123
exit_2,0.2100,0.1552,15230564.5521
exit_3,0.2000,0.1430,851814.8907
exit_4,0.1400,0.1068,1308395.1457
exit_5,0.1900,0.1553,1477231.8573
exit_6,0.2300,0.1978,2233861.5162
exit_7,0.2100,0.1540,964866.3392
exit_8,0.2300,0.1505,3651670.4008
exit_9,0.2300,0.1823,1499960.9033
