method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,2417.3,3941.5,1.002,5.01,0.01,48.65,1096,1215
exit_1,2417.3,3948.1,1.002,6.20,0.00,48.72,1096,1215
exit_2,2417.3,3952.8,1.002,7.22,0.00,48.76,1095,1215
exit_3,2417.3,3957.1,1.002,8.00,0.00,48.78,1095,1215
exit_4,2417.3,3968.6,1.002,8.45,0.00,48.75,1095,1215
exit_5,2417.3,3971.1,1.002,8.89,0.00,48.78,1095,1215
exit_6,2417.3,3973.7,1.002,9.24,0.00,48.77,1095,1215
exit_7,2417.3,3975.1,1.002,9.43,0.00,48.76,1095,1215
exit_8,2417.3,3980.4,1.002,9.70,0.00,48.72,1095,1215
exit_9,2417.3,3983.3,1.002,9.79,0.00,48.76,1095,1215
