method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.018261,,0.018261,,0.018261,,46.974
exit_1,0.000000,,0.020920,,0.020920,,0.020920,,44.644
exit_2,0.000000,,0.023388,,0.023388,,0.023388,,39.894
exit_3,0.000000,,0.025597,,0.025597,,0.025597,,36.388
exit_4,0.000000,,0.027272,,0.027272,,0.027272,,34.090
exit_5,0.000000,,0.028875,,0.028875,,0.028875,,32.434
exit_6,0.000000,,0.030734,,0.030734,,0.030734,,30.442
exit_7,0.000000,,0.031698,,0.031698,,0.031698,,29.603
exit_8,0.000000,,0.032358,,0.032358,,0.032358,,29.271
exit_9,0.000000,,0.032968,,0.032968,,0.032968,,28.628
