method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.005220,,0.005220,,0.005220,,81.942
exit_1,0.000000,,0.007058,,0.007058,,0.007058,,88.640
exit_2,0.000000,,0.008965,,0.008965,,0.008965,,75.220
exit_3,0.000000,,0.010745,,0.010745,,0.010745,,66.028
exit_4,0.000000,,0.011895,,0.011895,,0.011895,,60.467
exit_5,0.000000,,0.013076,,0.013076,,0.013076,,57.041
exit_6,0.000000,,0.014432,,0.014432,,0.014432,,52.480
exit_7,0.000000,,0.015186,,0.015186,,0.015186,,50.709
exit_8,0.000000,,0.015862,,0.015862,,0.015862,,50.681
exit_9,0.000000,,0.016724,,0.016724,,0.016724,,48.473
