method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,51.3,1468.3,0.945,3.12,0.00,17.24,2329,6589
exit_1,51.3,1470.9,0.949,3.01,0.00,17.96,2458,8050
exit_2,51.3,1434.0,0.943,3.38,0.00,18.41,2521,3950
exit_3,51.3,943.9,0.946,3.37,0.00,18.63,2564,3721
exit_4,51.3,944.2,0.942,3.43,0.00,18.81,2586,3291
exit_5,51.3,945.9,0.945,3.67,0.00,18.95,2604,1568
exit_6,51.3,950.5,0.942,3.74,0.00,19.27,2618,810
exit_7,51.3,953.4,0.939,3.69,0.00,19.44,2626,810
exit_8,51.3,953.4,0.941,3.73,0.00,19.31,2627,926
exit_9,51.3,924.8,0.948,4.10,0.00,19.31,2645,3415
