method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,50.9,846.3,0.950,0.00,0.00,17.18,2318,6604
exit_1,50.9,850.3,0.951,3.03,0.00,17.89,2451,7248
exit_2,50.9,853.9,0.947,2.99,0.00,18.25,2525,8062
exit_3,50.9,854.6,0.943,3.36,0.00,18.57,2555,3592
exit_4,50.9,859.5,0.933,2.69,0.00,17.75,2594,6395
exit_5,50.9,847.8,0.933,2.70,0.00,16.95,2615,9001
exit_6,50.9,797.6,0.933,2.70,0.00,16.95,2634,9001
exit_7,50.9,796.6,0.932,2.74,0.00,16.95,2640,8990
exit_8,50.9,798.5,0.931,2.73,0.00,16.98,2642,8996
exit_9,50.9,800.2,0.943,3.06,0.00,17.20,2644,9001
