method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.020858,,0.020858,,0.020858,,39.897
exit_1,0.000000,,0.023632,,0.023632,,0.023632,,35.908
exit_2,0.000000,,0.025838,,0.025838,,0.025838,,33.474
exit_3,0.000000,,0.028152,,0.028152,,0.028152,,30.966
exit_4,0.000000,,0.029823,,0.029823,,0.029823,,29.438
exit_5,0.000000,,0.031538,,0.031538,,0.031538,,27.987
exit_6,0.000000,,0.033730,,0.033730,,0.033730,,26.202
exit_7,0.000000,,0.034915,,0.034915,,0.034915,,25.394
exit_8,0.000000,,0.035435,,0.035435,,0.035435,,25.117
exit_9,0.000000,,0.035990,,0.035990,,0.035990,,24.776
