method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,50.9,843.3,0.954,0.00,0.00,17.11,2285,3160
exit_1,50.9,844.8,0.944,3.45,0.00,17.90,2422,810
exit_2,50.9,845.9,0.943,3.37,0.00,18.27,2511,3275
exit_3,50.9,847.7,0.947,3.02,0.00,18.49,2565,7389
exit_4,50.9,846.4,0.942,3.34,0.00,18.66,2584,4264
exit_5,50.9,847.4,0.940,3.53,0.00,18.77,2596,2366
exit_6,50.9,848.0,0.939,3.66,0.00,18.95,2610,1075
exit_7,50.9,850.9,0.943,3.71,0.00,19.06,2619,810
exit_8,50.9,849.3,0.940,3.73,0.00,19.12,2624,810
exit_9,50.9,851.2,0.943,3.37,0.00,19.00,2638,5561
