method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,50.9,1030.6,0.949,2.95,0.00,16.50,2330,8509
exit_1,50.9,1030.2,0.947,3.03,0.00,17.83,2451,7165
exit_2,50.9,1030.8,0.944,3.55,0.00,18.33,2505,1579
exit_3,50.9,1030.2,0.939,3.52,0.00,18.58,2543,1060
exit_4,50.9,1029.9,0.944,3.64,0.00,18.80,2574,821
exit_5,50.9,1029.9,0.941,3.70,0.00,18.93,2593,819
exit_6,50.9,1029.9,0.940,3.71,0.00,18.99,2611,818
exit_7,50.9,1029.8,0.941,3.72,0.00,19.04,2622,819
exit_8,50.9,1030.0,0.944,3.49,0.00,19.01,2632,3782
exit_9,50.9,1030.7,0.944,3.46,0.00,19.05,2638,4668
