method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.020811,,0.020811,,0.020811,,39.697
exit_1,0.000000,,0.023845,,0.023845,,0.023845,,35.312
exit_2,0.000000,,0.026670,,0.026670,,0.026670,,32.070
exit_3,0.000000,,0.028821,,0.028821,,0.028821,,29.962
exit_4,0.000000,,0.030653,,0.030653,,0.030653,,28.281
exit_5,0.000000,,0.032825,,0.032825,,0.032825,,26.672
exit_6,0.000000,,0.034320,,0.034320,,0.034320,,25.646
exit_7,0.000000,,0.035508,,0.035508,,0.035508,,24.886
exit_8,0.000000,,0.036241,,0.036241,,0.036241,,24.441
exit_9,0.000000,,0.036910,,0.036910,,0.036910,,24.043
