method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,50.9,780.4,0.958,3.34,0.00,17.21,2333,7352
exit_1,50.9,792.0,0.950,3.85,0.00,18.03,2427,2728
exit_2,50.9,784.3,0.952,3.95,0.00,18.53,2522,2027
exit_3,50.9,781.2,0.943,3.69,0.00,18.70,2559,1227
exit_4,50.9,783.8,0.942,3.66,0.00,18.87,2585,810
exit_5,50.9,786.2,0.941,3.68,0.00,19.01,2603,835
exit_6,50.9,781.6,0.938,3.71,0.00,19.09,2615,1222
exit_7,50.9,500.1,0.943,3.72,0.00,19.16,2624,846
exit_8,50.9,799.6,0.941,3.75,0.00,19.21,2628,1035
exit_9,50.9,799.6,0.943,3.74,0.00,19.20,2636,1631
