method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.020589,,0.020589,,0.020589,,40.928
exit_1,0.000000,,0.023331,,0.023331,,0.023331,,36.727
exit_2,0.000000,,0.025957,,0.025957,,0.025957,,33.445
exit_3,0.000000,,0.028292,,0.028292,,0.028292,,30.962
exit_4,0.000000,,0.030051,,0.030051,,0.030051,,29.239
exit_5,0.000000,,0.031615,,0.031615,,0.031615,,27.968
exit_6,0.000000,,0.033819,,0.033819,,0.033819,,26.308
exit_7,0.000000,,0.034458,,0.034458,,0.034458,,25.886
exit_8,0.000000,,0.035466,,0.035466,,0.035466,,25.163
exit_9,0.000000,,0.035973,,0.035973,,0.035973,,24.892
