method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0_P3,747.6740,,3.795299,,88.32,
exit_0_P4,762.0130,,3.868086,,91.13,
exit_0_P5,615.8730,,3.126259,,72.57,
exit_1_P3,359.9440,,1.827127,,41.50,
exit_1_P4,386.2400,,1.960609,,44.76,
exit_1_P5,385.0250,,1.954442,,44.54,
exit_2_P3,382.6080,,1.942173,,30.38,
exit_2_P4,458.3200,,2.326497,,36.65,
exit_2_P5,353.9540,,1.796721,,27.44,
exit_3_P3,405.2570,,2.057142,,28.36,
exit_3_P4,359.7910,,1.826350,,26.35,
exit_3_P5,403.8020,,2.049756,,29.43,
exit_4_P3,436.5880,,2.216183,,28.28,
exit_4_P4,407.0370,,2.066178,,26.42,
exit_4_P5,435.3960,,2.210132,,28.12,
