method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0_P3,60.8,1881.8,1.123,12.13,1.13,52.43,1095,1215
exit_0_P4,58.9,1884.6,2.109,12.05,0.00,53.69,1095,1215
exit_0_P5,58.5,1886.3,2.085,12.02,0.00,53.00,1095,1215
exit_1_P3,60.5,1892.7,2.097,14.24,2.14,54.09,1095,1215
exit_1_P4,58.9,1893.3,2.119,12.52,0.00,54.72,1095,1215
exit_1_P5,58.5,1893.3,2.160,12.53,0.00,53.59,1095,1215
exit_2_P3,60.5,1936.0,1.905,14.82,0.00,54.51,1095,1215
exit_2_P4,58.9,1936.3,1.921,15.39,0.00,54.63,1095,1215
exit_2_P5,58.5,1936.3,1.914,15.51,0.00,54.76,1095,1215
exit_3_P3,60.8,1940.7,1.815,15.52,0.00,55.05,1095,1215
exit_3_P4,58.9,1941.2,1.839,16.29,0.00,54.12,1095,1215
exit_3_P5,58.5,1941.2,1.824,16.17,0.00,54.75,1095,1215
exit_4_P3,60.6,1948.6,1.751,16.78,0.00,55.14,1095,1215
exit_4_P4,58.9,1949.2,1.735,16.60,0.00,54.25,1095,1215
exit_4_P5,58.5,1949.3,1.741,16.56,0.00,54.83,1095,1215
