method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0_P3,0.000000,,0.052808,,0.052808,,0.052808,,2.504
exit_0_P4,0.000000,,0.010906,,0.010906,,0.010906,,46.640
exit_0_P5,0.000000,,0.010973,,0.010973,,0.010973,,46.291
exit_1_P3,0.000000,,0.011019,,0.011019,,0.011019,,28.712
exit_1_P4,0.000000,,0.011010,,0.011010,,0.011010,,46.528
exit_1_P5,0.000000,,0.010839,,0.010839,,0.010839,,47.739
exit_2_P3,0.000000,,0.016373,,0.016373,,0.016373,,8.076
exit_2_P4,0.000000,,0.015586,,0.015586,,0.015586,,38.538
exit_2_P5,0.000000,,0.015566,,0.015566,,0.015566,,38.704
exit_3_P3,0.000000,,0.018735,,0.018735,,0.018735,,13.071
exit_3_P4,0.000000,,0.017995,,0.017995,,0.017995,,35.261
exit_3_P5,0.000000,,0.018478,,0.018478,,0.018478,,34.596
exit_4_P3,0.000000,,0.021054,,0.021054,,0.021054,,12.861
exit_4_P4,0.000000,,0.021247,,0.021247,,0.021247,,31.378
exit_4_P5,0.000000,,0.021310,,0.021310,,0.021310,,31.225
