method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0_P3,0.0000,,0.000000,,0.00,
exit_0_P4,0.0000,,0.000000,,0.00,
exit_0_P5,0.0000,,0.000000,,0.00,
exit_1_P3,0.0000,,0.000000,,0.00,
exit_1_P4,0.0000,,0.000000,,0.00,
exit_1_P5,0.0000,,0.000000,,0.00,
exit_2_P3,0.0000,,0.000000,,0.00,
exit_2_P4,0.0000,,0.000000,,0.00,
exit_2_P5,0.0000,,0.000000,,0.00,
exit_3_P3,0.0000,,0.000000,,0.00,
exit_3_P4,0.0000,,0.000000,,0.00,
exit_3_P5,0.0000,,0.000000,,0.00,
exit_4_P3,0.0000,,0.000000,,0.00,
exit_4_P4,0.0000,,0.000000,,0.00,
exit_4_P5,0.0000,,0.000000,,0.00,
