method,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0_P3,0.000000,,0.000000,,0.000000,,0.000
exit_0_P4,0.000000,,0.000000,,0.000000,,0.000
exit_0_P5,0.000000,,0.000000,,0.000000,,0.000
exit_1_P3,0.000000,,0.000000,,0.000000,,0.000
exit_1_P4,0.000000,,0.000000,,0.000000,,0.000
exit_1_P5,0.000000,,0.000000,,0.000000,,0.000
exit_2_P3,0.000000,,0.000000,,0.000000,,0.000
exit_2_P4,0.000000,,0.000000,,0.000000,,0.000
exit_2_P5,0.000000,,0.000000,,0.000000,,0.000
exit_3_P3,0.000000,,0.000000,,0.000000,,0.000
exit_3_P4,0.000000,,0.000000,,0.000000,,0.000
exit_3_P5,0.000000,,0.000000,,0.000000,,0.000
exit_4_P3,0.000000,,0.000000,,0.000000,,0.000
exit_4_P4,0.000000,,0.000000,,0.000000,,0.000
exit_4_P5,0.000000,,0.000000,,0.000000,,0.000
